Aaron
Abel
Adam
Adrian
Ahmed
Aiden
Ailo
Aksel
Alan
Albert
Aleksander
Alex
Alexander
Alfred
Ali
Alvin
Amir
Amund
Anas
Anders
Andre
Andreas
Anton
Arian
Arne
Aron
Arthur
Asbjørn
Ask
Aslak
Audun
August
Axel
Balder
Bastian
Bendik
Benjamin
Birk
Bjørn
Bo
Brage
Carl
Casper
Caspian
Charlie
Chris
Christian
Christoffer
Christopher
Colin
Cornelius
Daniel
David
Dennis
Didrik
Edvard
Edvin
Edward
Edwin
Einar
Eirik
Eivind
Eliah
Elias
Elliot
Emil
Emilian
Emilio
Emre
Emrik
Endre
Erik
Erlend
Erling
Eskil
Even
Fabian
Falk
Felix
Ferdinand
Filip
Fillip
Finn
Fredrik
Gabriel
Gaute
Georg
Gustav
Haakon
Halvor
Hamza
Hans
Harald
Heine
Helmer
Henrik
Henry
Herman
Hugo
Håkon
Håvard
Ibrahim
Igor
Imre
Isaac
Isac
Isak
Ivar
Iver
Jacob
Jakob
Jakub
Jan
Jens
Jesper
Jo
Joachim
Joakim
Joel
Johan
Johannes
John
Jon
Jonah
Jonas
Jonatan
Jonathan
Jone
Josef
Julian
Jørgen
Kacper
Karl
Kasper
Kaspian
Kevin
Kian
Kim
Knut
Konrad
Kornelius
Kristian
Kristoffer
Lars
Lasse
Lavrans
Leander
Leif
Leo
Leon
Leonard
Levi
Liam
Linus
Loke
Louis
Luca
Lucas
Ludvig
Ludvik
Luka
Lukas
Lyder
Mads
Magnus
Marcel
Marcus
Marius
Markus
Martin
Martinius
Matas
Mateo
Matheo
Matheus
Mathias
Matias
Mats
Matteo
Mattis
Max
Maximilian
Melvin
Michael
Mikael
Mikkel
Milan
Milian
Mio
Mohamed
Mohammad
Mohammed
Morten
Muhammad
Mustafa
Nathaniel
Neo
Nicholas
Nicklas
Nicolai
Nicolas
Niklas
Nikolai
Nikolas
Nils
Noa
Noah
Noel
Odin
Ola
Olai
Olav
Ole
Oliver
Olve
Omar
Oscar
Oskar
Otto
Patrick
Peder
Per
Peter
Petter
Philip
Phillip
Ragnar
Rasmus
Rayan
Robin
Ruben
Sam
Samuel
Sander
Sebastian
Selmer
Sigurd
Sigve
Silas
Simen
Simon
Sindre
Sivert
Snorre
Sondre
Stefan
Stian
Storm
Sverre
Syver
Tage
Teodor
Theo
Theodor
Thomas
Thor
Tim
Tobias
Tom
Tomas
Tor
Torbjørn
Tord
Torjus
Torstein
Tristan
Trygve
Trym
Ulrik
Vebjørn
Vegard
Vemund
Vetle
Victor
Viktor
Viljar
Vincent
Wilhelm
William
Yusuf
Øyvind
Åsmund
