Ada
Adele
Adelen
Adriana
Agnes
Aisha
Alba
Aleksandra
Alexandra
Alice
Alicia
Alida
Alina
Alma
Alva
Alvilde
Amalie
Amanda
Amelia
Amelie
Amina
Andrea
Andrine
Ane
Angelica
Anine
Anja
Anna
Annabell
Anne
Aria
Ariana
Ariel
Arya
Astrid
Aurora
Ava
Ayla
Bella
Bianca
Camilla
Carmen
Caroline
Celina
Celine
Charlotte
Christina
Clara
Cornelia
Diana
Dina
Ea
Ebba
Edith
Eira
Eiril
Elea
Eleah
Elena
Elida
Elin
Elina
Eline
Elisa
Elisabeth
Elise
Ella
Ellen
Ellie
Ellinor
Elsa
Elvira
Embla
Emilia
Emilie
Emily
Emine
Emma
Emmeli
Emmy
Enya
Erika
Erle
Esther
Eva
Evelina
Evelyn
Fatima
Felicia
Filippa
Fiona
Frida
Fride
Frøya
Hanna
Hannah
Hanne
Hedda
Hedvig
Heidi
Helena
Helene
Helle
Hennie
Henny
Henriette
Hermine
Iben
Ida
Iman
Ina
Ine
Inga
Ingeborg
Inger
Ingrid
Ingvild
Iris
Isabel
Isabell
Isabella
Isabelle
Iselin
Jenny
Jessica
Johanna
Johanne
Josefine
Julia
Julie
June
Kaia
Kaja
Kamilla
Karen
Karina
Karolina
Karoline
Kine
Klara
Kornelia
Kristin
Kristina
Kristine
Lara
Laura
Lea
Leah
Lena
Leona
Leonora
Lilja
Lilje
Lilli
Lillian
Lilly
Lily
Lina
Linea
Linnea
Lisa
Lise
Liv
Liva
Live
Lone
Lotta
Lotte
Louise
Lovise
Luna
Lycke
Lydia
Lykke
Madeleine
Madelen
Maia
Maiken
Maja
Malene
Mali
Malin
Maren
Mari
Maria
Mariam
Marie
Mariell
Marielle
Marion
Marte
Martha
Marthe
Martine
Maryam
Mathea
Mathilda
Mathilde
Matilda
Matilde
Maya
Melina
Melissa
Mia
Michelle
Mie
Mila
Milena
Milla
Mille
Mina
Mira
Miriam
Molly
Nadia
Naomi
Natalia
Natalie
Nathalie
Nelly
Nicoline
Nikoline
Nina
Nora
Norah
Nova
Oda
Olava
Olea
Oline
Olivia
Othilie
Pernille
Petra
Pia
Ragnhild
Rakel
Rebecca
Rebekka
Rikke
Ronja
Runa
Ruth
Saga
Sandra
Sanna
Sanne
Sara
Sarah
Savannah
Selina
Selma
Serine
Sienna
Signe
Sigrid
Silja
Silje
Sina
Siri
Sofia
Sofie
Sol
Solveig
Sonja
Sophia
Sophie
Stella
Stine
Sunniva
Susanne
Synne
Synnøve
Tale
Thale
Thea
Thelma
Therese
Tia
Tilde
Tiril
Tomine
Tora
Tuva
Ulrikke
Una
Vanessa
Vera
Victoria
Vida
Viktoria
Vilde
Vilja
Vilje
Vilma
Vårin
Wilma
Yasmin
Ylva
Zara
Zuzanna
